id,title,city,property,area(m²),rooms,price(TND),longitude,latitude,link
2614,Étage de villa studette au 2 ème étage,Sijoumi      ,Appartement,209,3,190 000,10.148758665928403,36.801348049243245,https://www.mubawab.tn/fr/a/7799332/%C3%A9tage-de-villa-studette-au-2-%C3%A8me-%C3%A9tage
2615,"Appartement s2 haut standing, Ennasr 2",Cité Ennasr 2 à       Ariana Ville      ,Appartement,148,2,410 000,10.19556,36.8625,https://www.mubawab.tn/fr/a/7776171/appartement-s2-haut-standing-ennasr-2
2616,S3 palm lake resort monastir,Sahline      ,Appartement,217,3,850 000,10.725774659140477,35.76199653259497,https://www.mubawab.tn/fr/a/7798164/s3-palm-lake-resort-monastir
2617,Appartement a Lafayette,République à       Tunis      ,Appartement,90,2,180 000,10.16596,36.81881,https://www.mubawab.tn/fr/a/7797352/appartement-a-lafayette
2618,Appartement en vente à El Mourouj 4. Surface totale 68 m².,El Mourouj 4 à       El Mourouj      ,Appartement,68,2,130 000,10.2622167,36.6938694,https://www.mubawab.tn/fr/a/7796938/appartement-en-vente-%C3%A0-el-mourouj-4-surface-totale-68-m%C2%B2-
2619,"Vend appartement. Superficie 220 m². Vue sur la mer, chauffage central.",Korba      ,Appartement,220,4,400 000,10.8582,36.5769,https://www.mubawab.tn/fr/a/7796514/vend-appartement-superficie-220-m%C2%B2-vue-sur-la-mer-chauffage-central-
2620,À vendre un S2 à Ennasr direct promoteur,Ennasr      ,Appartement,136,2,444 000,10.02891,35.40851,https://www.mubawab.tn/fr/a/7678384/%C3%A0-vendre-un-s2-%C3%A0-ennasr-direct-promoteur
2621,À vendre un appartement S2 direct promoteur,Ennasr      ,Appartement,145,2,475 000,10.02891,35.40851,https://www.mubawab.tn/fr/a/7678382/%C3%A0-vendre-un-appartement-s2-direct-promoteur
2622,A vendre villa R1 de 320 m²,El Yasminette à       Nouvelle Medina      ,Appartement,320,4,580 000,10.18348,36.78898,https://www.mubawab.tn/fr/a/7794086/a-vendre-villa-r1-de-320-m%C2%B2
2623,A vendre appartement s1 à Tantana,Akouda à       Akouda      ,Appartement,70,2,180 000,10.571809,35.874674,https://www.mubawab.tn/fr/a/7726493/a-vendre-appartement-s1-%C3%A0-tantana
