id,title,city,property,area(m²),price(TND),longitude,latitude,link
1799,Terrain à vendre à Oued Ellil. Superficie 10000 m².,Oued Ellil à       Oued Ellil      ,Terrain,10000,190 000,10.050795382683553,36.855270732584714,https://www.mubawab.tn/fr/a/7664886/terrain-%C3%A0-vendre-%C3%A0-oued-ellil-superficie-10000-m%C2%B2-
1800,A vendre un terrain à bâtir dans un bon emplacemen,Tantana      ,Terrain,1138,625 900,10.52022,35.94312,https://www.mubawab.tn/fr/a/7742823/a-vendre-un-terrain-%C3%A0-b%C3%A2tir-dans-un-bon-emplacemen
1801,Zitoun kebir centenaire,M'saken      ,Terrain,11117,120 000,10.495725011372574,35.75185413520741,https://www.mubawab.tn/fr/a/7815484/zitoun-kebir-centenaire
1802,Terrain à vendre à Nabeul,Nabeul à       Nabeul      ,Terrain,189,180 000,10.73505,36.45056,https://www.mubawab.tn/fr/a/7770268/terrain-%C3%A0-vendre-%C3%A0-nabeul
1803,Très beau terrain à chourfouch,Chorchef 2 à       Sidi Thabet      ,Terrain,1800,117 000,10.058308619863483,36.96817226738528,https://www.mubawab.tn/fr/a/7730763/tr%C3%A8s-beau-terrain-%C3%A0-chourfouch
1804,Terrain agricole en vente,Monastir Ville      ,Terrain,454,90 000,10.8225,35.7678,https://www.mubawab.tn/fr/a/7630785/terrain-agricole-en-vente
1805,Terrain Bouzayen Km 4.200m De La Route Principale,Bouzayen à       Sfax Ville      ,Terrain,900,430 000,10.736170797447382,34.77372470793571,https://www.mubawab.tn/fr/a/7814627/terrain-bouzayen-km-4-200m-de-la-route-principale
1806,Terrain Ksour granada,Tantana à       Akouda      ,Terrain,500,160 000,10.57,35.87,https://www.mubawab.tn/fr/a/7814620/terrain-ksour-granada
1807,Vente terrain foukaya chott meriem,Tantana à       Hammam Sousse      ,Terrain,2230,230 000,10.576029,35.918751,https://www.mubawab.tn/fr/a/7814614/vente-terrain-foukaya-chott-meriem
1808,Terrain industriel en vente,Ben Arous      ,Terrain,1096,1 800 000,10.22122,36.77228,https://www.mubawab.tn/fr/a/7692151/terrain-industriel-en-vente
1809,Terrain industriel en vente,Charguia 2 à       La Soukra      ,Terrain,7303,8 763 600,10.25,36.883333,https://www.mubawab.tn/fr/a/7625351/terrain-industriel-en-vente
1810,Terrain industriel en vente,Sidi Rezig à       Mégrine      ,Terrain,2473,1 950 000,10.2622167,36.6938694,https://www.mubawab.tn/fr/a/7609422/terrain-industriel-en-vente
1811,Vente terrain à Borj Touil. Superficie 116 m².,Borj Touil à       Raoued      ,Terrain,116,50 000,10.191389,36.954444,https://www.mubawab.tn/fr/a/7814208/vente-terrain-%C3%A0-borj-touil-superficie-116-m%C2%B2-
1812,Opportunité terrain à nabeul,Hammamet Nord à       Hammamet      ,Terrain,250,175 000,10.61457,36.40108,https://www.mubawab.tn/fr/a/7813229/opportunit%C3%A9-terrain-%C3%A0-nabeul
1813,Achat de terrain à Amilcar. Surface totale 400 m².,Amilcar à       Carthage      ,Terrain,400,1 800 000,10.3258,36.8566,https://www.mubawab.tn/fr/a/7813185/achat-de-terrain-%C3%A0-amilcar-surface-totale-400-m%C2%B2-
1814,Terrain 412 m² à vendre jardin del menzah viabilis,Les Jardins d'El Menzah 2 à       Ariana Ville      ,Terrain,412,494 000,10.134291,36.859673,https://www.mubawab.tn/fr/a/7812485/terrain-412-m%C2%B2-%C3%A0-vendre-jardin-del-menzah-viabilis
1815,A vendre terrain nu 506 m2 A 800 DT / m2,Rades Plage à       Rades      ,Terrain,506,404 800,10.2859918,36.7764986,https://www.mubawab.tn/fr/a/7811621/a-vendre-terrain-nu-506-m2-a-800-dt-m2
1816,Très beau Terrain,Soliman      ,Terrain,500,100 000,10.466535125761567,36.692692474833194,https://www.mubawab.tn/fr/a/7569746/tr%C3%A8s-beau-terrain
1817,Terrain à bhar lazreg / soukra,Bhar Lazreg à       La Marsa      ,Terrain,275,170 500,10.325278,36.876389,https://www.mubawab.tn/fr/a/7436394/terrain-%C3%A0-bhar-lazreg-soukra
1818,Quartier RESIDENTIEL en face Club Med,Hammamet Sud à       Hammamet      ,Terrain,631,990 000,10.548480369873046,36.38422176653785,https://www.mubawab.tn/fr/a/7772191/quartier-residentiel-en-face-club-med
1819,Terrain agricole de 9hectares et 300 m2 à vendre à kalaa kbira sousse,Kalâa Kebira      ,Terrain,90300,450 000,10.54372,35.87392,https://www.mubawab.tn/fr/a/7419722/terrain-agricole-de-9hectares-et-300-m2-%C3%A0-vendre-%C3%A0-kalaa-kbira-sousse
1820,Terrain de 520 m2 à Borj touil,Borj Touil à       Raoued      ,Terrain,520,420 000,10.142317,36.932333,https://www.mubawab.tn/fr/a/7604278/terrain-de-520-m2-%C3%A0-borj-touil
1821,Terrain de 1026 m2 à Borj touil,Borj Touil à       Raoued      ,Terrain,1026,430 000,10.142317,36.932333,https://www.mubawab.tn/fr/a/7613543/terrain-de-1026-m2-%C3%A0-borj-touil
1822,Terrain Sidi thabet cité mongi slim 5415 m2,Cité Mongi Slim à       Sidi Thabet      ,Terrain,5415,350 000,10.2243965,36.8240829,https://www.mubawab.tn/fr/a/7810123/terrain-sidi-thabet-cit%C3%A9-mongi-slim-5415-m2
1823,Un terrain sur la route principale de Sidi Hammed,Hammamet à       Hammamet      ,Terrain,1000,450 000,10.61457,36.40108,https://www.mubawab.tn/fr/a/7810086/un-terrain-sur-la-route-principale-de-sidi-hammed
1824,3 Lots de 175m² à Douikhla Hammamet Sud,Yasmine Hammamet à       Hammamet      ,Terrain,175,29 000,10.535237,36.374884,https://www.mubawab.tn/fr/a/7502558/3-lots-de-175m%C2%B2-%C3%A0-douikhla-hammamet-sud
1825,Terrain en vente. Surface totale 663 m²,Soliman      ,Terrain,663,550 000,10.436571654527866,36.69803989980927,https://www.mubawab.tn/fr/a/7499426/terrain-en-vente-surface-totale-663-m%C2%B2
1826,"Terrain de 540m², Ain Zaghouen",La Marsa      ,Terrain,671,950 000,10.325278,36.876389,https://www.mubawab.tn/fr/a/7801595/terrain-de-540m%C2%B2-ain-zaghouen
1827,Terrain agricole à Zaghouen,Zaghouan      ,Terrain,275000,1 500 000,10.2733997,36.8578827,https://www.mubawab.tn/fr/a/7809087/terrain-agricole-%C3%A0-zaghouen
1828,Terrain clôturé,Sidi Frej à       La Soukra      ,Terrain,210,172 500,11.137673,34.696444,https://www.mubawab.tn/fr/a/7808402/terrain-cl%C3%B4tur%C3%A9
1829,3 derniers lots de terrain à vendre,Korba      ,Terrain,205,60 000,10.849050505011379,36.568076166417754,https://www.mubawab.tn/fr/a/7807981/3-derniers-lots-de-terrain-%C3%A0-vendre
1830,Terrain unique,Gammarth à       La Marsa      ,Terrain,310,280 000,10.286811605804425,36.91465096880147,https://www.mubawab.tn/fr/a/7807851/terrain-unique
1831,Terrain à vendre à Zone Touristique. Superficie 10000 m².,Zone Touristique à       Monastir Ville      ,Terrain,10000,2 700 000,10.833333,35.783333,https://www.mubawab.tn/fr/a/7806662/terrain-%C3%A0-vendre-%C3%A0-zone-touristique-superficie-10000-m%C2%B2-
1832,Terrain a vendre,El Haouaria      ,Terrain,1000,220 000,11.016667,37.05,https://www.mubawab.tn/fr/a/7806017/terrain-a-vendre
1833,Vente de terrain. Surface de 7500 m².,Zaghouan      ,Terrain,7500,30 000,10.1448,36.3998,https://www.mubawab.tn/fr/a/7799699/vente-de-terrain-surface-de-7500-m%C2%B2-
1834,Un super terrain clôturé pour votre future villa,Ouled Kacem à       Kerkennah      ,Terrain,675,50 000,11.167287175442763,34.687501179866395,https://www.mubawab.tn/fr/a/7805732/un-super-terrain-cl%C3%B4tur%C3%A9-pour-votre-future-villa
1835,Terrain habitation ind. En vente,Skanes à       Monastir Ville      ,Terrain,562,477 700,10.833333,35.783333,https://www.mubawab.tn/fr/a/7754274/terrain-habitation-ind-en-vente
1836,Terrain habitation ind. En vente,Monastir Ville      ,Terrain,558,234 360,10.8225,35.7678,https://www.mubawab.tn/fr/a/7805495/terrain-habitation-ind-en-vente
1837,Terrain en vente à Bou Hnech. Surface de 2200 m².,Bou Hnech à       Raoued      ,Terrain,2200,154 000,10.191389,36.954444,https://www.mubawab.tn/fr/a/7805162/terrain-en-vente-%C3%A0-bou-hnech-surface-de-2200-m%C2%B2-
1838,Terrain de 516 m2 a Lebna Plage,Menzel Temime      ,Terrain,515,140 000,10.983333,36.783333,https://www.mubawab.tn/fr/a/7805010/terrain-de-516-m2-a-lebna-plage
1839,Terrain habitation collective en vente,Monastir Ville      ,Terrain,468,515 000,10.8225,35.7678,https://www.mubawab.tn/fr/a/7804841/terrain-habitation-collective-en-vente
1840,Terrain a hammam chat,Hammam Chatt à       Hammam Chatt      ,Terrain,1010,1 000 000,9.97244,36.0683,https://www.mubawab.tn/fr/a/7804739/terrain-a-hammam-chat
1841,Vente de terrain à Borj El Amri. Surface totale 1000 m².,Borj El Amri à       Borj El Amri      ,Terrain,1000,40 000,9.882267,36.711866,https://www.mubawab.tn/fr/a/7804530/vente-de-terrain-%C3%A0-borj-el-amri-surface-totale-1000-m%C2%B2-
1842,Bonne Emplacement d'une vue de mer,Borj Cedria à       Hammam Chatt      ,Terrain,414,400 000,10.483332999999988,36.69999139788008,https://www.mubawab.tn/fr/a/7573301/bonne-emplacement-d-une-vue-de-mer
1843,Terrain en vente à Cité des Enseignants. Surface totale 600 m²,Cité des Enseignants à       Le Bardo      ,Terrain,600,800 000,10.13736,36.83017,https://www.mubawab.tn/fr/a/7804117/terrain-en-vente-%C3%A0-cit%C3%A9-des-enseignants-surface-totale-600-m%C2%B2
1844,Terrain à vendre Sidi Alouane,Sidi Alouane      ,Terrain,900,94 231,10.7299779,35.3581191,https://www.mubawab.tn/fr/a/7803989/terrain-%C3%A0-vendre-sidi-alouane
1845,1000 m2 à borj touil,Borj Touil à       Raoued      ,Terrain,1000,500 000,10.142317000000002,36.93233300000001,https://www.mubawab.tn/fr/a/7803695/1000-m2-%C3%A0-borj-touil
