id,title,city,property,area(m²),rooms,price(TND),longitude,latitude,link
819,Villa Haut Standing de 1000 m² à Chotrana 2,Chotrana 2 à       La Soukra      ,Maison,1000,6,2 250 000,10.25,36.883333,https://www.mubawab.tn/fr/a/7792138/villa-haut-standing-de-1000-m%C2%B2-%C3%A0-chotrana-2
820,Villa spacieuse de bon standing à Borj Louzir,Borj Louzir à       La Soukra      ,Maison,320,4,700 000,10.25,36.883333,https://www.mubawab.tn/fr/a/7792048/villa-spacieuse-de-bon-standing-%C3%A0-borj-louzir
821,Maison à acheter à Bir El Bey. Superficie 300 m². Antenne parabolique,Bir El Bey à       Hammam Chatt      ,Maison,300,9,520 000,9.97244,36.0683,https://www.mubawab.tn/fr/a/7791632/maison-%C3%A0-acheter-%C3%A0-bir-el-bey-superficie-300-m%C2%B2-antenne-parabolique
822,Maison arabe centre ville de Nabeul,Nabeul à       Nabeul      ,Maison,125,3,220 000,10.738876848387093,36.455926161294244,https://www.mubawab.tn/fr/a/7637577/maison-arabe-centre-ville-de-nabeul
823,Trouvez votre maison à acheter au Bardo. 4 grandes pièces,Le Bardo à       Le Bardo      ,Maison,147,3,340 000,10.134472500000001,36.81447030000001,https://www.mubawab.tn/fr/a/7788668/trouvez-votre-maison-%C3%A0-acheter-au-bardo-4-grandes-pi%C3%A8ces
824,Villa avec piscine et jardin à vendre aux Berges du Lac 2,Les Berges Du Lac 2 à       La Marsa      ,Maison,587,4,3 700 000,10.2641808,36.8468986,https://www.mubawab.tn/fr/a/7738430/villa-avec-piscine-et-jardin-%C3%A0-vendre-aux-berges-du-lac-2
825,A vendre maison,El Menzah 1 à       El Menzah      ,Maison,289,4,750 000,10.164723,36.845235,https://www.mubawab.tn/fr/a/7726019/a-vendre-maison
826,A vendre 02 Maisons à Salloum Bouficha,Bouficha      ,Maison,160,4,370 000,10.45554,36.30084,https://www.mubawab.tn/fr/a/7755615/a-vendre-02-maisons-%C3%A0-salloum-bouficha
827,Villa à ouardia 1,El Ouardia à       El Ouardia      ,Maison,525,6,750 000,10.21587,36.83561,https://www.mubawab.tn/fr/a/7782910/villa-%C3%A0-ouardia-1
828,A vendre un duplex en S4 à la Soukra,La Soukra à       La Soukra      ,Maison,212,4,550 000,10.27417,36.88833,https://www.mubawab.tn/fr/a/7613491/a-vendre-un-duplex-en-s4-%C3%A0-la-soukra
829,A vendre maison à restaurer,Ezzahra à       Ezzahra      ,Maison,420,3,500 000,10.16262,36.89147,https://www.mubawab.tn/fr/a/7782611/a-vendre-maison-%C3%A0-restaurer
830,Maison à l'achat. Surface de 500 m². Places de stationnement et jardin,Soliman      ,Maison,500,3,400 000,10.483333,36.7,https://www.mubawab.tn/fr/a/7782234/maison-%C3%A0-l-achat-surface-de-500-m%C2%B2-places-de-stationnement-et-jardin
831,Ancien étage à sousse,Sousse Ville      ,Maison,118,2,112 000,10.6339,35.8273,https://www.mubawab.tn/fr/a/7781902/ancien-%C3%A9tage-%C3%A0-sousse
832,"Charmante Villa à Deux Étages à Ezzahra, Quartier",Cité Ennakhil 1 à       Ezzahra      ,Maison,250,5,625 000,10.16262,36.89147,https://www.mubawab.tn/fr/a/7781428/charmante-villa-%C3%A0-deux-%C3%A9tages-%C3%A0-ezzahra-quartier
833,Trouvez votre maison à acheter à Nouvelle Medina. Superficie 220 m². Four.,Nouvelle Medina à       Nouvelle Medina      ,Maison,220,6,320 000,10.18348,36.78898,https://www.mubawab.tn/fr/a/7780290/trouvez-votre-maison-%C3%A0-acheter-%C3%A0-nouvelle-medina-superficie-220-m%C2%B2-four-
834,Un particulier vend une villa R2 a Bizerte,Bizerte      ,Maison,261,7,580 000,9.866667,37.266667,https://www.mubawab.tn/fr/a/7779282/un-particulier-vend-une-villa-r2-a-bizerte
835,Très belle maison,Dar Châabane      ,Maison,179,3,250 000,10.75258,36.48423,https://www.mubawab.tn/fr/a/7243784/tr%C3%A8s-belle-maison
